reviewstext,reviews_rating,reviews_numhelpful
better than thought would highly recommend,4,-1
machine same size previous machine more expandable like good looking machine,5,-1
searching computer could efficiently run autocad suite microsoft office can truly say dell xps intel core i7 processor has more than up challenge am running demanding program like autocad suite microsoft office without sacrificing speed quality am incredibly impressed computer highly recommend users may similar needs performance,5,1
computer setup great home office studentstook longer get everything hooked up working because everything didnt go told geek squad everything not installed id requested geek squad had figure out do myself,4,-1
nice format desk topplenty storage ramblazing speedsufficient peripheral connectionsfuture proofgreat value,5,1
machine replaced 2007 dell xps has lots ram great processor boots quick little pricey do get pay,5,1
lights outs pc excellent speed used business,5,-1
sound system bought add more volume tv very satisfied way increased sound very good very easy set up,5,-1
fast powerful one easiest pcs upgradealter ive ever seenin way machine throwback terms versatility needs stinkin xbox doityourselfability state art tech wish still wrote lots games pcssome reviewers mentioned lag issues seemed come solely wifi interference,5,-1
fast breaks bench marks hangs lot worse then older systems,3,-1
4 cores 16gb ram godsend someone has using dual core laptops 4gb ram,5,-1
very excited opportunity get computer main desktop 7 years old showing age had just decided finally needed replacement computer very wonderful welcome upgrade tower designed smaller than standard desktop size makes easier find place like silver styling front panel very much computer has toolless design means can access internal components without having use additional tools always wanted feature next computer because trying access internal components old one always pain computer has about 11 usb ports another plus because ton usb peripherals addition most ports computer super speed usb 30 ports mean can use faster flash drives peripherals even threw usbc port although only onethere audio ports both front back computer comes wavemaxx audio support makes external speakers sound wonderful single dvdrw drive so can read write cds dvds sd card reader front well fan system computer excellent not had anything happen caused notice fans kicking high gearthe other hardware features computer has whopping 16gb ram 1 tb 7200 rpm hard drive bluetooth 40 wireless ac both intel hd graphics 630 amd radeon rx 560 2gb dedicated ddr5 ram lovely seventh generation intel core i77700 processor 360 ghz processor shows up eight processors device manager so one powerful computerthe modest games run osu dc universe online team fortress minecraft ran without breeze only issue had due not using correct graphics card computer has both integrated dedicated graphics hdmi connection most obvious one integrated one so accidentally connected monitor integrated graphics card mistake integrated graphics port should covered unit not so started gaming had display issues surprised until checked manual online realized mistake still integrated card did run games admirably nowhere near well radeon cardthe computer comes decent keyboard mouse keyboard has media shortcuts chiclet style mouse actually has builtin dpi switcher both wired computer ships windows 10 homethis computer has blast use past days not gotten around use features tried so far has amazing also warranty comes great onsite service after remote diagnosis service support xps line has always great dell would definitely recommend computer someone wants able powerful machine great features gaming ability decent price,5,-1
love these headphones first bought pair son we were so impressed sound quality went back bought myself pair,5,-1
got grandkids compatible dvd player work great,5,-1
needed two sets bluetooth headphones so we can use both watching tv same time great receptiongreat price,4,-1
love these wireless headphones provide consistent connection good range am using hp laptop walk away sometimes still can hear music clearly sound quality expansive device am fully satisfied,5,-1
work beautifully clear sound easy pair bluetooth devices charge inexpensive set if headphones great,5,-1
these bluetooth headphones come 35mm cable so can also connect nonbluetooth pc workso youre not limited just bluetooth devices sound better than sonys mdrzx330bt less expensive meelectronics runaway gives 15 hour playtime vs sonys 30 hour playtime still not bad considering runaways smaller sizei like control buttons runaway headphones more tactile well intuitive placed side one above otheri had these before until physically broke so know im gettinggreat quality,5,-1
good headset price plus no wires just good,5,-1
good quality headset price plus no wires,5,-1
reviews item were very good chose ive more than happy connects very easily bluetoothenabled sources such ipad itouch these just within thirty feet so,5,-1
work long hours work home im phone hours day need something switch between iphone desk phone needed comfortable good quality mic so can heard conference calls sound quality excellent exactly need calls music sounds great through can answer calls iphone listen music mac pick up calls desk phonei havent tested range so far am very pleased,5,-1
wear ipod workout five days week very comfortable so nice not having chord way wearing bose headphones yes bose sound better these sound great price comfortable no chord battery life great too sink up so fast device,5,-1
purchased last month use ipad iphonewas absolutely amazed quality product consdering paid under 70definitely worth every penny not disappointed,5,1
think awesome find product reasonable price rather than pay too much beats bose try those too minor difference sound can live use last fly work so good dont lose signal plain second raw went way dawn wc end plain work perfect if want snobby get beats bose if want use money other gadgets much better batterie last forever use round trip about 6 hours each batterie last im so happy product,5,1
salesman said these would work ipod well wrong might great headphones,3,1
meets expectations electronics company appears make good stuff,5,1
researching over ear bluetooth headphones time work environment if im not conference calls then im listening music drown out surrounding noise while work day computer since go back forth call music typically use ear buds came phone mici may only one earbuds get sooo uncomfortable after hours use tried jawbone about day cant do bluetooth ear eitherover ear bt headphones prices vary so much can get very expensive top dont know would like bought these because were cheap test run after about 4 hours work love drown out majority outside noise without completely blocking sound good if someone calling attention music sounds way better than would imagined price course bt headphones general way go these great so far so good conference calls other callers cant even tell im headset thats better than earbud micif hesitant buy bluetooth over ear headphone set start one likely upgrade higher quality set eventually now im 100 satisfied comfortable wear day long also not mention no wiresthe only slight flaw smaller than typical skull candy hesh beats over ear set fit headears perfectly if can should look store google pictures someone make sure like way look,5,1
first want know am technojunkie try items possible know own best couple months back market bluetooth headphones pair iphone travel quite bit admittedly since not inear variety had concerns wouldnt work well airplane extremely noisy also keep mind tried handful other bluetooth headphones before settling af32s name ive tried jaybirds motorolas wireless rhythm mikeys also tried others begin onear headphones couldnt believe cabin noise plane had no effect soundmusic listening example even voices movies watching very easy hear now shocker bass came af32s shocking wasnt boomy heard crisp bass sounded par goto over ear headphones pairing headphones iphone couldnt easier better yet charges quickly via usb holds charge quite long time dont know long rated got 7 hours last trip juice spare if could make just one comment id like improved future models concerns builtin microphone quiet areas person other end phone had no idea wearing headphones lots noise background person talking commented were hearing quite bit noise honestly though bought these ability music im noisy environment simply switch back using iphones microphone let tell very small price pay ability listen music wirelessly music sounds 100x better than could ever hoped allow save time if market best sounding bluetooth headphones look no further dont fooled reasonable price truly good dont know meelectronics did now buying other af32s gifts friends colleagues if can leave off one final word would wow please keep mind no affiliation company company representatives also very rare take time write review products own however after spending time these couldnt help myself,5,1
im border line headphone snobi can tell difference between good head phones subpar headphones love these headphones were easy set up easy connect great sound quality yet recharge able pair devices continue connect without problem got little hesitant because ear headphones press cartilage piercing so hard hurts these super comfortable stay head without being super tight,5,1
looking bluetooth headset watch moviestv shows tablet price these headphones great product bluetooth headset mic paired up easily asus tablet also gnex phone very comfortable sound quality better than expected great supporti emailed meelectronics about question received response within 24 hours,5,1
teenagers wanted beats headphones christmas did research reviews these headphones price could not pass up teenagers love rave about sound quality wireless kids say make so much easier iphones ipods ear piece soft leather like material just like beats headphones fits over ears perfectly great headphones saved over 20000 each pair compared beats headphones two happy teenagers warranty two years only cost 1199 deal well only wish had different colors headphones,5,1
very long battery life use everyday havent had recharge sometimes though sound drops dont know since get good reception through car through walls apartment pretty far away phone pocket sound drops out until place phone near headphones another thing bought these work out arent very secure head guess better little unsecured than hella tight head so exercise mindful can fall off other than pretty good,4,1
bought these headphones black friday really cheap price these headphones exceeded expectations sound quality amazing these headphones use ipod touch sync wirelessly syncs wout problems use listen music while work out dont worry about wires getting caught while im lifting weights just put ipod pocket press shuffle gothe bass good not overwhelming guess depends quality sound file youre listening overall these headphones excellent keeper,5,1
these headphones easy set up blue tooth system sound good good battery life,5,1
unit difficult pair occasionally loses contact overall sound acceptable not greatnot good value money,3,1
bought these replace ear type love sizefeatures sound quality cannot go wrong price,5,1
bought headphone primarily used notebook very nice design sound could better also produces faint background noise cuts off occasionally,3,-1
hearing loss both ears so cant judge sound quality these headphones comfortable easy set up really like about fact comes cord so if out charge can switch over cord still listen music,5,1
use primarily air travel bluetooth feature dont worry about dangling cords get way sound quality better average,5,1
best quality price tried others most comfortable,4,-1
would definitely recommend others sound very nice,4,-1
second headset iphone first lg lasted only three months these sound great battery enough last day,5,-1
really like sound quality these produce also easily pair apple devices frame seems little flimsy so probably not user take everywhere put through lot wear tear use studying online watching videos,4,-1
use these head phones everyday work theyre very comfortable sturdy sound quality great can blast music out disturbing others best no wires get tangled up can also receive make calls like regular blue tooth,5,-1
got these son uses every day likes being able walk around not tied down wires,4,1
after 7 pair headphones finally found great pairthe sound greatjust good bose,5,1
so far so good havent used lot do like lightweight both phone audio listening options,4,1
ive used commuting train bus laptop messenger bag back pack carry so nice not worry about wires putting off sound quality really good well only complaint after 60 minutes so does start get uncomfortable not unbearably so do wish had softer plastic earpiece easy pair up blue tooth device use cell phone tablet,4,1
solid headsetgood sound qualitygreat travelers folds up nice bag included,5,-1
got these mostly listen music work great phone mic use bonus,5,-1
used headset recent trip las vegas headset very comfortable easy pair ipod kindle surface tablet controls easy use headset touch very responsive also used wired cable watch inflight movie worked well easily switched back bluetooth movie done great experience,5,1
paid 49 dollars these worth every penny work well anything bluetooth cable,5,1
great sound easy setup bluetooth home system decent range long arent walls battery life seems good typically only use couple hours time plugged not useoverall great price easy use,4,-1
use these desktop computer keep disturbing wife while watch videos listen music love not having wires get tangled tie down much better than rffm headphones ive tried past range great can walk around entire house without loosing signal user manual very brief were easy setup so wasnt big problem very comfortable red color makes easy find messy desk microphone picks up well chatting online controls simple use battery life seems good wear several hours day plug recharge while sleep im rather tone deaf so cant comment audio quality except sound fine really cant say anything bad about theyre great,5,1
great deal don’t best hearing sounds great it’s very easy pair ipad not having deal hanging audio cables travel airplane big plus overall i’m glad did not give 300 400 they’re asking other brands,5,1
great value very good quality good sound functionality easy setup use,4,-1
so far hsppy pink headphones perfect gym walking around neighborhood very lightweight,5,1
these so worth money 2 kids love,5,1
got gift husband last fathers day loves gift said did good babe misson accomplished,5,1
purchased these once sole purpose being able use bluetooth media audio one side didnt work ended up upgrading beats bluetooth model,2,-1
first reading reviews about these headphones got little skeptical once bought these tried first time impressed had never head meelectronics before friends had gotten headphones brand before were amazed well sound quality terrific deep base almost par most major headphone brands one only issues ive had product slips slides just turn head little order solve just dont look down while im bending over stays perfectly now even though slide head great source music walks park house work even jogs runs overall great product cant go wrong product price quality,4,1
these headphones comfortable sound great can used talk iphone can lounge deck no longer choked wire,5,1
very nice wireless headphones very comfortable light head great price,5,-1
excellent product price point use ipad 3 connected right away,4,-1
company phone low quality sound do tech support day while doing own service calls link headset phone calls tablet music just enjoy,5,1
long lasting charge comfortable wear absolutely love,5,1
good quality wireless headphones better than those overpriced beats,4,-1
light attractive sound quality excellent price cannot beat just wish ear pieces were like more expensive noise cancelling phones supporse thats difference between 70 headphones 200 ones,5,-1
headphone doesnt state noise canceling surrounding noise really dampened put these even before other audio streaming havent used built microphone thus far do like listening videos music cushioned ear pads instead inear buds,5,1
overall im very happy purchase headphones soft comfortable even laying ear pillow crisp highs deep bass such affordable price bluetooth setup hasslefree only complaint annoyingly bright flashing light comes searching source sometimes while after use these primarily watch tv listen music dark room while girlfriend sleeping flashing light occasionally creates small strobe effect wakes up covered up duct tape problem solved,5,1
found these looking reviews decided order thought because wireless would kind bass lost listeningi listen large amount dubstepelectro sound quality great very comfortable volume control call skip buttons basically dont need touch music playing device highly suggest buy these really love mine worth price better than going buying 200 beats,5,1
had tried couple different bluetooth headphones really picky about comfort call quality had returned another brand because behind neck like lay back listen music pair sounds great music also works good calls wife surprised using first called think very comfortable sounds good decent bass am audiophile,5,1
purchased listen podcasts andor music while exercising night doesnt disturbing anyone not wanting listen im hearing comfortable havent found negatives yet very good value compared prices ive seen similar products,5,1
purchased several months ago intention replacing another really wornout set never would guessed much has become integrated into routine student carry books occasion would expected one use earbuds wired headphones would only get way wanted make calltake call cables wires would only get waywhen got meelectronics airfi problems were gone could carry books inhand inbag without hassle if wanted listen musicmake call granted still havent explored possible functions these headphones offer serve very well microphone more receptive than thought would imagine would need speak up crowded place never case caller could perfectly hear if were speaking through phones microphone bluetooth also very good 10 ft bluetooth not exaggeratedthe only problem really had these if wear too long heat up ears great winter uber cold during summeryou can imagine issues can crop upallinall excellent headphones great utility great price,5,1
meelectronic airfi bluetooth headphones product would buy again again start simply cannot beat price these headphones quality provide second sound quality excellent am music junky gone through dozens headphones sound quality pair would one best ive come across so far mind never spend more than 100 pair headphones also love these headphones feature built mic control keys option use provided 35mm stereo cable connect headphone compatible device amazing also love colors glossy plastic thats purely cosmetic thing seem pretty durable too wouldnt go making habit out slamming onto floornow padding headphones makes pretty comfortable wearing experience sometimes like slide off head look down just headbanging beat also noticed headphones become out sync times usually only notice while watching hulu netflix pc turning headphones off back resolves problem another very minor issue these headphones lack l andor r stamped either side headphones indicate proper placement speakers over ears though figured built mic should point forward would mean side buttons should placed over right earallinall am extremely happy these headphones would highly recommend anyone looking buy set bluetooth headphones fit smaller budget,5,1
these headphones great value very good sound not good bose still good being were 150 cheaper than bose beats excellent value highly recommend not mention battery life great charge monday fine until weekend lots use plus do microphone phone calls also great deal,5,1
use paired eforcity bluetooth audio transmitter can use both pc living room tv just moving small transmitter device want listen light weight comfortable entire movie,4,1
set headphones beautiful love black red while red may slightly faded looking great battery last long not meter measuring product works great mac iphone listening music using siri,5,1
overall good product price especially due bluetooth capability,4,1
did lot research before buying these am very pleased no reason spend 300 bucks headphones can buy these 70 like did easily worth double cost blutooth range rated 30 feet underatatement work machine shop can leave iphone ipad toolbox walk behind sheetmetal wall 50 feet away still dont skip only skip am behind wall behind machine only problem had first time tried pair wasnt holding button down long enough beware read instructions better than did fine,5,1
really love using bluetooth feature headphones awesome able listen music office without disrupting anyone can still get up walk around without having take off constantly also nice exercising because trouble keeping earbuds ears so over head style great also sound quality quite good price havent tested out phone call yet hope do soon,5,1
wanted set headphones so can listen music answer phone without having fumble phone tried listen corded set cord always got ripped out phone while im working short bluetooth connection not big deal because phone always hip so far product worth money,5,1
these exceptional bluetooth headphones sound superb great even sound thruout entire spectrum paired up iphone 5 no problem always connect ease look feel fantastic well made no need spend fortune headphones these ones,5,-1
excellent headset use ipad mini connects blue tooth easily sounds great friends report nearly invisible mic sounds clear am using boom performs par much more expensive headsetsmy only issue feel headset set constrained design due being foldable wearing feel bit awkward because way need arranged head put find myself bit distracted feel awkward however passes quickly worn communications lasted up two hours without issue,4,1
perfect headphones even better runningexercising,5,1
these fine headphones money odd part designer decided use proprietary charging cord instead standard like micro usb fear if cord gets damaged lost difficult replace,4,1
purchased 13year old daughter didnt problem getting bluetooth pair iphone without help uses lot havent heard complaints about battery going dead middle use assume uses phone conversations too hasnt told problemsprobably not headphones choice audiophile kid tends lose break electronics good value money sound plenty good enough listens,4,1
has great sound quality very good base response comfortable wear problem left ear no longer gives sound barely audible want return,1,-1
read review amazon should taken advice stops working time too late return bb so mfg sent replacement same thing stops working now mfg give credit more expensive set same mfg thats like throwing more product well still stop working way bb no help product,1,1
initially bought these gaming so could chat friends ventrillo not cable drooping over arms didnt work out more researched found wasnt headphones fault bluetooth general bluetooth wont process microphone mono stereo audio same time result using device pure mono not so great again not headsets fault so mind dont game device using bluetooth use other wired gaming headsetall aside love headset only 59 use daily use galaxy note 8 pc motorola droid razr maxx im not home gymthe fit just right head like very light dont feel like giant headset can come flying off if move head quicklythe sound superb extremely surprised good bass typically listen hip hop house music so key bought these online so worried would not meet needs didthe bluetooth connection decent although other headsets not better imagine probably related fact entire house wireless wife two kids use tablets daily gaming consoles wireless addition laptops wifes pc combined wireless smart tvs wireless stereos bathrooms we alot rf floating around house ill cut break can typically walk about 30 away before starts break up although think maximum fcc allow so no heartache therethe device pairs quite easily use several devices so dont complaints departmentbattery life actually really good can go 3 days so using about 4 hours day dont let sit charger not use because probably bad device go charge connect bad so let headphones sit angle top connector so gets good connection charges im sure cable not headset headset comes wired cable so can use headset wired modeusing headset wired mode really nice feature if im low charge dont seek out new headsetthe headset also folds up easy storing provide nice little felt bag case need pack these up traveling nice touch if ask methats review hope helps somebody outi highly recommend these if youre looking headset cheap really meets these primary needsgreat soundeasy pair multiple deviceslong life charges using usb plugfolds up easy packingcomfortable fit,5,1
surprised sound unit bass really good,4,-1
good price slips off head if bend over,4,1
having read other reviews before purchased item say far exceeds expectations do cut out occasionally overall deliver high quality sound thing wasnt expecting small built microphone would so good expecting turn off take phone call work great hands free phone calls would highly recommend these headphones anyone great ill learn deal ears sweating,5,1
not didnt like sound poor prices highyou can jugg do weight lifting gonna fall head,1,-1
like headphones especially bluetooth feature sound really good use between classes studying also can use driving,4,1
great price high quality crystal clear audio terrific stereo sound perfect ipad,5,1
not wanted use running working out not stay movement,3,1
bought 11 yr old because broke 3 pairs ones had wires within 2 months do job well stay charged forever didnt like fit ear 1st put sound says doesnt feel do slip down head often only downfall would day,4,1
great product price paid nice range fits easy over ears would better over ear cup would like come own charger not just charging cord so far battery life seems okay,4,1
set up very easy able connect devices ipad galaxy iii phone home pc bluetooth speaker without problem not tried answer calls headphones yet seems relatively simple had about month havent had recharge battery yet seem little fragile havent dropped banged anything yet feel if do may break stop working would recommend getting extended warranty store offers just safe,4,1
effectively blocks out airport noise without hassle cords draped everywhere,4,-1
good sound not stay ears headuseless if not stay headalso gave friend see if just had same problems headset,2,1
perfect tv gaming room people commented about apps not working mine work just fine super convenient speakers arent anything impressive no built speakers footings same pictured people said theirs were different overall tv solid im stoked about great color quality lots personalization video quality buying more sure,5,-1
has great tv bought because smart tv samsung name well regarded always very satisfied best buy,5,-1
easy just plugged settings configured done also got great deal during oneday sale,5,-1
stand got mid stand 2 wide legs coming center perfect exactly wanted great tv super awesome quality so far give 5,5,-1
amazing picture quality awesome smart technology amazing price,5,-1
wonderful color great picture easy hookup recommend friends great price,5,-1
great tv better than expected really clear easy children work,5,-1
best value bought three 150 140 132 great,5,-1
picture quality horrible look side even worse feel like im watching old home movie without nostalgia refresh rate slow not smooth whatsoever pixilated picture expecting so much more 2017 model just disappointment,1,1
great picture quality reasonable price bought kids room,5,-1
easy set up beautiful picture soundlove,5,-1
bought replace one had hit lightning loved last one love one well better picture quality than older sony picture so clear can see details,5,-1
sound shuts off every day after playing 9 hourstook 3rd party seller bit get settledreturned tv must say picture good def had problem,1,-1
nice standard size tv good picture quality setup simple,5,-1
great crystal clear picture,5,-1
really like tv base so wide had rearrange furniture,4,-1
purchased stand used 55 samsung led smart tv stand works well assembly fairly easy pretty solid assembly 55 tv no concerns about tipping would strap wall if were children home price point great kit included several different bolts washers attach mount nearly type tv would give 5 stars however had use different bolts washers mount tv wobbled shook bolts were included kit recommend if moving wall mount table top use old wall mount bolts,5,-1
got tv about week i’m pretty happy it’s good tv price,4,-1
tv super easy set up we using play room using smart tv capabilities works very well these purposes,5,-1
samsung purchased replace older model tv basement workout area great tv,5,-1
tv awesome price includes full samsung online app librarywith online account great gaming monitor high def gaming pc also tv comes soap opera mode default makes moves not look so great once tv set move theater mode experience awesome,5,-1
got set up computer monitor can also watch movies amazon,5,-1
god tv,4,-1
am little concerned about picture am viewing regular tv seems very cloudy hazy screen another tv house has great picture coloring done research appears fix am not sure would weird can switch between appears normal nice picture cloudy hazy picture within movieshow am watching sometimes appears make items screen translucent changed between different options picture output still happens strange little concerning am trying determine if should return tv pick out another one should maybe option whether not would recommend tv selected yes really would say maybe if issue can resolved without returning tv then would say yes,4,-1
now cant sleep playing video game,5,-1
good price 50inch tv bright vibrant colors clear display exactly high quality youd expect samsung electronicsmy only minor issues every time turn tv gets automatically turned because connected hdmi device activated cool feature btw annoying popup menu selecting builtin tv app something never use either wait menu disappear after several seconds manually close menu myself pressing return remote id rather menu never pop up tv has builtin wifi apps nice during wifi setup completely irrational password length limit makes no sense whatsoever wifi network has long password over 32 characters dont ask cant connect tv because password entry field has hard limit length characters can type dunno exact limit obviously less than 32 characters thing bamboozles should just followed specification maximum password length wifi connections whatever dont use tv wifi anyway so minor issue connected fire tv streaming least device allows 32 length wifi network passwords,4,-1
works great very please excellant color sound great service store,5,-1
bought tv use monitor gaming computer has no problem anything play,5,-1
am looking 32 tv 95 year old mother prefers one sleep timer not found one available am disheartened see review 32 samsung indicates smart function problems would like buy samsung currently 3models work well would like know repaired smart tv problem before committing 2017 32 model way find out alerted problem has fixed 2015 32 model apple tv roku outboard devices too does not function advertised manufacturer picture exceptional seems samsung has not put technology bare problem though continue promote feature also surprised find latest samsung tv purchased manufactured mexico dos not seem same quality previous models purchased has anyone found also case,3,-1
terrific television very easy set up get started great picture internet connection breeze little confused first about access apps eventually figured out works quite well love samsung products own 2 tvs blu ray player 2 smartphones refrigerator microwave,5,-1
very pleased purchase tv has excellent picture great sound set up breeze,5,-1
less than 24 hours after receiving tv went outno picture sound worked called samsung after repairman came out motherboard has replaced already unbelievable products made samsung pretty pitiful good news repairing free bad news wait,2,-1
arrived pedestal base different photos online much better solution stability mehuge very sharp picture,5,-1
new samsung 40 tv amazing best quality features price beautiful picture,5,-1
just received tv had friend set up not connected computer yet days getting new laptop reason am writing review now let know tv comes just like picture dont know says doesntbecause tv picture see identical,5,-1
very happy new tv,5,-1
just needed tv replace one died wasnt planning getting smart tv glad did very useful great picture,5,-1
not being able use universal remote x1 digital remote control tv kinda sucks,3,-1
picture clear color well defined problem screen usually has dark tint even after maxing brightness setting annoyingdont know we get each time we turn,3,-1
beautiful picture compared old tv we replaced service good installer done very good job,5,-1
tv great value easy set up has great picture smart feature makes accessing hulu netflix breeze 50 led 1080p smart tv under 500 samsung favorite brand,5,-1
price nice not best picture seen samsung,3,-1
we several samaung tvs preform excellently others had long service life,5,-1
took help daughter hook up directv dvd player would help if user guide installation operating instructions were included,4,1
i’ve always used apple tv first smart tv little worried about having programs wanted pleasantly surprised variety just wish had ability push phone screen,4,-1
tv gift boyfriends mother we noticed squinted trying watch favorite western shows carried tv so excited so simple use,5,-1
tv has beautiful color picture quality images netflix other apps visible too,5,-1
it’s spacious practical price it’s cheaper than other places,5,-1
very happy purchaseits perfect size bedroom,5,-1
great value basic lcd great picture non4k,4,-1
had first bought bigger sized tv dorm way too big so returned purchased one perfect size has great quality,5,-1
setting up smart tv took hour now sound fluctuates sometimes goes out completely find press rewind play watch sound very annoying am thinking must consider bring back store call find out appropriate steps take not had time out state while so very inconvenient,2,1
beautiful picture would buy tv again if needed,5,-1
bought son works great good pic works expected,5,-1
great buy got sale so worth every dollar spent play display settings get best picture quality,5,-1
perfect picture sound leaves little bit desired had update software before we could use apps tv,4,-1
stand real pain put together screws did not want go eventually we managed picture sound very good cant really beat sale price overall quite pleased purchase,4,1
works wellsounds good easy figure out useiam satisfied,5,1
smart tv meet technical needs ability take full advantage advances,5,-1
love size picture sound overall quality,4,-1
love good deal price smart tv,5,-1
great tv samsung good product very easy setup use,5,-1
great tv home office samsung makes awesome products,5,-1
product works great easy get setup apps wouldn’t load first setup after updating software good,4,-1
around good choicesize screen sound good,5,1
particular tv wont remain connected internet,2,-1
picture outstanding lots features now,5,-1
love youtube button remote user interface tv best,5,-1
bought smart tv great using smart view phone,5,-1
second samsung tv purchased continue built high quality tvsvisiting various brick mortar retailers constantly impressed display even tvs were not sorted brand still found myself visually drawn model very clear seemed brighter than other models methe dimensions great very little wasted space tv light enough easily move wall mounting simple taskthe smart tv interface well implemented initial configuration breezei three complaints about though only give 4 stars1 power cord input ports opposite sides tv makes much harder keep cords out way2 power cord too short tv intended wall mounted limited tv could placed so we bought longer cord3 while netflix unable access internet even though tv could still download updates fixed redoing network settings reconnecting netflix based research sounds like happens fairly regularly software updatedoverall am extremely happy tv expect ill buy yet another samsung tv eventually replace one,4,-1
good tv does everything want tovery nice picture,4,-1
40” tv perfect size picture crystal clear can’t beat price either,5,-1
several samsung tvs already always satisfied quality ease use one just easy gift mom huge improvement old 24 picture tube,5,-1
nothing out ordinary can little cheaper get,3,-1
price around love samsungled smart tv wifi quality 5 star,5,1
apps preinstalled do not work called samsung told wasnt fault,1,-1
get price smart tv so avoided buying roku stick,5,-1
great television,5,-1
very impressed quality picture samsung large tv,4,-1
television great reminds old tube tvs would turn screen would like close picture vs just turn off audiovisual samsung amazing love intuitive interface ability stream picks up cable like dream without box settings menu loaded controlcustomization freaks out samsung does great job making everything easy locateable beautiful sleek couldnt beat price either,5,-1
bought gift 91017 delivered 91317 top frame started separating screen 92117 bummer should better quality sold,2,-1
cheap tv not worth money tv remote joke tv thick recent tv,2,1
great picture price perfect looking,5,-1
easy setup has excellent picture quality sound pretty solid built speakers would definitely buy another one,5,-1
quality picture easy put together has pedestal stand important,5,-1
great value fantastic tv yes little more than black friday deal worth money,5,-1
second samsung first 6 years old still working great went smart tv not 4k keep simple setup very easy picture quality great would definitely recommend,5,-1
good price good tv happy purchase easy purchase setup enjoy,4,-1
do not buy unit if plan standing table flimsy unstable legs had table cable box bumped into table television fell over onto cable box damaged televisions screen dont know samsung went away base stands use,1,-1
great quality very light carry thinking about getting another one,5,-1
very pleased product perfect size daughters bedroom,5,-1
excellent picture blackest blacks os seems stable intuitive apps look feel great typical samsung quality would recommend,5,-1
great tv long use either tv speaker hook sound bar up thru hdmi connection because optical connection does cut out contacted samsung twice about problem just want blame problem everything other then great tv,3,-1
very nice tv price would defjjtely recommend no problem so far so worth,5,-1
really like new smart samsung easy setup really like tried another brand didn’t care so glad tried samsung,4,1
works advertised numerous samsung products am satisfied,4,-1
love samsung clear sharp picture excellent sound,5,-1
wanted something small n simple tv k connection internet suck it’s either work n majority time no connection everyone else fine even smartphones,1,-1
excellent picture quality lots geewiz stuff dont use sound quality builtin speakers poor use external sound system sounds great,5,-1
dont like requirements sign use tv due smart features didnt even want didnt offer without smartness same size price other than love tv easy use has really good color brightness ps4 games look really vibrant,4,1
smaller unit fits perfectly limited counter top,4,-1
so pleased,5,-1
like tv had send back due defect something wrong sound,2,-1
purchased received within one week purchased replace television recent purchased had returned sound issues easy set up picture great sound good very pleased overall,5,-1
picture crystal clear interactive web hub smooth,5,-1
works well sharp picture easy use,5,-1
bought master bedroom very happy tv purchase easy set up great picture quality had no issues would recommend,5,-1
good quality picture tell anyone purchase tv grandson loves,5,-1
good tv spare bedroom game room not main tv,4,-1
picture good sound could better,4,-1
has best tv love good price point too,5,-1
bought tv put antenna plan get fire stick see if like tired cable companies,5,1
best tv ever owned,5,-1
tv meets needs use antenna netflix only good tv,4,-1
tv does not same base pictured photo has split leg base not solid wide base model number amazon page same model number tv received tv stand not same beware if need fit properly certain spot need know 23 space between legs had put legs blocks get fit,3,-1
tv has great picture quality easy navigate,5,-1
has good pic clear color could better manual would great cannot even find onoff tv,4,-1
everything excellent except stand hence four stars,4,-1
very good picture easy set up base control buttons tv easy use,4,-1
very happy purchase dont know youre missing until get long overdue upgrade,5,-1
tv quality great user friendly very happy purchase great value cost,5,-1
wow wasnt expecting such great picture easy set up intuitive remote screen replace older samsung went off college new design base makes very stable wow picture read reviews about having adjust due ambient light sensor mines dimly lit room didnt need adjust settings,5,-1
had go get new remote controller because remote didnt work,3,-1
picture perfect clear makes feel like right picturei did see one top picks consurmers report,5,-1
best picture clarity tv very smart easy operate can see pores peoples faces,5,1
like,5,-1
we didnt receive screws attach base tv we had try find ones fit little concerning,3,-1
pros picture great system menus easy navigatecons tv speakers absolute garbage ive owned several tvs ranging very expensive very cheap samsungs particular tv has worst speakers ive ever had displeasure hearing no matter settings use ton feedback even voices typically youll get feedback really low high frequencies not using external sound system tv gives feedback while listening ordinary dialogue seinfeld volume only 20,3,-1
picture quality amazing feel like can reach out touch characters,5,-1
3rd samsung very pleased ityou too,5,-1
samsung always best choice we 6 tv’s purchase gift know nothing go wrong thanks samsung great product,5,-1
great quality tv looks great reception lobby,5,-1
great resolution best quality money good value,5,-1
always found samsung products decent quality user friendly we little disappointed w picture qualityvery snowynot clear particular tv only hooked up cable no boxesdvd player etc use hdmi we dont want invest other equiptment just hook hdmi up better picture we certainly no intention rent box cable company enhance viewing not sure think,3,-1
love,5,-1
purchased samsung based recommendation friends recently purchased 2 new ones actually we went up 1 step size than planned color clarity size everything perfect fits small area we had previous tv total satisfaction,5,-1
really good price size functionality tv,5,-1
picture so clear i’m alone watching tv start talk people like they’re living room tv has made feel like friends again strongly urge everyone buy tv,5,1
excellent picture quality easy setup tv has basics need multiple hdmis smarthub only complaint remote seems cheap tv,5,1
easy use high quality picture would highly recommend television,5,-1
bought tv mother christmas great picture good sound would recommend tv gift second tv,5,-1
great picture very versatilecant believe great blue ray looks,5,-1
works great replacement cheap tv we were using,5,-1
